Metric,Value
Mean (ms),234.9169553190803
Median (ms),228.62899999745423
P95 (ms),304.14045000034093
FPS,4.2568234321006395
CPU,"Intel64 Family 6 Model 140 Stepping 1, GenuineIntel"
RAM (GB),7.79
GPU,None

Frame,Latency (ms)
1,219.40779999931692
2,305.9547000011662
3,236.58509999950184
4,233.32319999826723
5,226.33289999794215
6,248.62690000009025
7,242.72120000023278
8,213.14519999941695
9,286.7487999974401
10,213.3066999995208
11,248.9132000009704
12,248.6179000006814
13,222.7798999992956
14,224.3114000011701
15,206.72020000347402
16,228.68949999974575
17,237.65669999920647
18,200.2658999990672
19,314.45809999786434
20,248.3362999992096
21,236.02980000214302
22,214.36410000023898
23,242.542299998604
24,255.97670000206563
25,249.32080000144197
26,247.352200000023
27,221.99080000063987
28,336.28479999970295
29,209.72180000171647
30,223.22649999841815
31,197.36610000109067
32,246.69880000146804
33,201.97209999969346
34,228.62899999745423
35,299.9071999984153
36,207.8938000013295
37,245.4213000019081
38,209.62359999975888
39,207.79549999861047
40,226.05050000129268
41,218.6665000008361
42,201.96329999816953
43,201.81839999713702
44,241.52310000135913
45,210.62589999928605
46,211.82229999976698
47,239.60810000062338
