frame,latency_ms,cells,memory_bytes
0,342.43,5118,245664
1,195.41,9211,442128
2,377.10,12610,605280
3,219.41,15495,743760
4,305.95,18065,867120
5,236.59,20505,984240
6,233.32,22827,1095696
7,226.33,24934,1196832
8,248.63,27068,1299264
9,242.72,29118,1397664
10,213.15,30920,1484160
11,286.75,32543,1562064
12,213.31,34192,1641216
13,248.91,35924,1724352
14,248.62,37403,1795344
15,222.78,38829,1863792
16,224.31,40231,1931088
17,206.72,41635,1998480
18,228.69,42933,2060784
19,237.66,44252,2124096
20,200.27,45462,2182176
21,314.46,46712,2242176
22,248.34,48197,2313456
23,236.03,49588,2380224
24,214.36,50844,2440512
25,242.54,52015,2496720
26,255.98,53235,2555280
27,249.32,54388,2610624
28,247.35,55537,2665776
29,221.99,56658,2719584
30,336.28,57681,2768688
31,209.72,58598,2812704
32,223.23,59504,2856192
33,197.37,60355,2897040
34,246.70,61102,2932896
35,201.97,62005,2976240
36,228.63,62870,3017760
37,299.91,63722,3058656
38,207.89,64464,3094272
39,245.42,65166,3127968
40,209.62,65927,3164496
41,207.80,66619,3197712
42,226.05,67461,3238128
43,218.67,68086,3268128
44,201.96,68896,3307008
45,201.82,69586,3340128
46,241.52,70197,3369456
47,210.63,70829,3399792
48,211.82,71414,3427872
49,239.61,72212,3466176
